,id,description,jobflag
0,0,"Executes and writes portions of testing plans, protocols, and documentation for assigned portion of application; identifies and debugs issues with code and suggests changes or improvements.",2
1,1,Maintain Network Performance by assisting with configurations and connections,3
2,2,Supports the regional compliance manager with day-to-day compliance support to assist the business and other stakeholders.,4
3,3,Keep up to date with local and national business and economic issues,1
4,4,Assist with Service Organization Control (SOC) examinations,4
5,5,"Establish a high level of code quality by writing unit tests, participating in code reviews, reducing cyclomatic complexity, removing code duplication, and debugging software modules",3
6,6,"RTL synthesis with timing and physical constraints, capacity and performance goals - Specifically, executing Xilinx Vivado and Intel PSG Quartus flows",3
7,7,Must be able to work independently in a small team.,1
8,8,Work with stakeholders to identify opportunities for leveraging company data to drive business solutions.,1
9,9,"Designs, develops, documents, tests and debugs application software. Conducts analysis and collaborates with subject matter experts in the planning, design, development, and utilization of electronic data processing systems for information storage, processing, presentation, manipulation, display, or reporting.  Act as Scrum-of-Scrum Master for 2-3 teams to track cross-team dependencies and resolve barriers  Facilitate Defect Triage meetings and manage the Issue Analysis process  Conduct key formal peer reviews, collect key metrics to facilitate a learning organization  Ensure Definition-of-Ready and Definition-of-Done criteria being met  Facilitate common software requirements analysis across multiple projects  Assist Chief Software Engineer and Technical Program Managers with overall continuous technical process improvements",3
10,10,Build scalable machine learning services and data platforms,2
11,11,Provide and maintain domain expertise of relevant software technologies and products.,3
12,12,"Ensure orders are processed timely and accurately. Address any order adjustments and billing corrections completely. Support post-purchase ownership experience including delivery and service scheduling, replacement parts ordering, and consumer relations activities.",4
13,13,Work with subject matter experts to gather requirements and use cases and design architecture and modules capable of scaling out to meet anticipated growth,2
14,14,Developing new software components (initial design through testing and deployment),3
15,15,Participating in Tech Spikes and Feasibility studies to help flesh out new ideas and unknowns.,3
16,16,Stay actively engaged in the technology industry and understand how the evolving technologies can benefit our organization,3
17,17,Maintain and update controls portion of machine standards,3
18,18,Maintain a good working knowledge of current infrastructure and future trends and technologies.,3
19,19,Gathers information to support software project management,3
20,20,Evolve and refactor existing systems to scale and support future growth,3
21,21,"Follows a disciplined, structured sales process by deploying solution selling and strategic selling tools and techniques",4
22,22,Provide clients with data cleansing opportunities as a result of the data discovery process,4
23,23,Recognized as a technical expert within the On-Q & Enhanced Recovery Technology Platform.,2
24,24,Undertake preprocessing of structured and unstructured data,1
25,25,Write stories (or requirements) of platform enhancements.,3
26,26,Experience in designing and developing high-performance switching and routing software,3
27,27,Work with cross-functional teams to develop ideas and execute business plans.,1
28,28,Make continual recommendations and maintain proactivity for best project result,3
29,29,Leading / Mentoring junior engineers,4
30,30,"Work in a startup-type environment to design and build innovative applications using Automation, Machine Learning/Cognitive Service, business / functional proofs-of-concepts to scalable, production ready solutions across a strategic business group",1
31,31,"Electrically integrate connectors, sensors, actuators, electric motors, power electronics, vehicle control ECUs, battery management systems, battery chargers, DC/DC converters and Gensets into test facilities and vehicles.",3
32,32,Demonstrate the software on request such as: during technical pre-sales and promotional events,4
33,33,Strategize in collaboration with functional teams to identify data-driven solutions to ongoing needs across the organization.,1
34,34,Develop site-acceptance test (SAT) plans for EMS Commissioning.,3
35,35,Apply expert knowledge of Mechanical and Sound & Vibration engineering,3
36,36,"Strong communication, teamwork and problem solving skills are essential.",3
37,37,"Contribute to new and existing projects, collaborating with product owners, and other teams to deliver business value on an iterative basis",3
38,38,"Maintain the systems necessary to ensure quality of raw materials and finished products; provide primary support for all chemistry/quality related manufacturing issues; act as liaison between R&T (Research and Technology), Technical Service, Marketing & Sales, and Production; provide guidance for department (Lab) activity and ensure it is within budget.",3
39,39,Inform bidding strategy and data engineering architecture.,2
40,40,Tasked with coming and and helping the DevOps environment up and running quickly,4
41,41,"Build security tools and processes using Python or Go for critical infrastructure protection, monitoring and remediation.",3
42,42,"Demonstrate the potential to initiate, lead, and execute funding opportunities in both internal and external R&D.",2
43,43,Software development for low level validation of Mentor Graphics IPs,3
44,44,Solve technically complex problems and prioritize tasks based on technical knowledge,3
45,45,"Update and continuously improve knowledge, skills and attitude pertaining to instructional design and related fields. Coach Learning Institute teammates.",4
46,46,Work with clients to develop network engineering solutions from concept through implementation,4
47,47,Work across teams to report on key metrics and develop KPIs,1
48,48,"Reporting to the Project Manager based in San Diego, CA.",3
49,49,"Developing novel techniques to tackle the challenges of prediction, optimization, and classification as they relate to: pattern recognition, target detection, tracking, reasoning and inferencing systems.",3
50,50,Collaborate with technical and non-technical users on software implementation.,3
51,51,Follow coding standards and best practices,3
52,52,Produce data visualizations that provide insight into data set structure and meaning,1
53,53,Develops referral partners by building a professional network in the market,4
54,54,"Work with customer technical leads, client executives, and partners to manage and deliver successful implementations of cloud solutions, becoming a trusted advisor to decision-makers throughout the engagement.",4
55,55,"Experience in full stack development building web server both in Ubuntu and Windows operating systems for production, staging, and personal dev environment.",3
56,56,As needed review release status with key program team members weekly,3
57,57,"Foster commercial, cloud-based thinking across the various technical disciplines",3
58,58,Apply knowledge of systems integration to their work,1
59,59,Derivation of optimal software architecture for new deep learning concepts,2
60,60,Work closely with Research Scientist team members to write papers and patents,2
61,61,Maintain high standards of software quality by establishing good practices and habits,3
62,62,Customize and manage the ERP System to meet business requirements,4
63,63,Develops new market ideas and assists in developing and implementing sales and/or marketing plans.,4
64,64,"Facilitate Workday process and configuration evaluation and review     with administrators to ensure consistency, efficient use of each     Workday module, and innovative use of technology.",4
65,65,"Troubleshoot and perform a root cause analysis of customer reported product issues (including: examining code base (compiling and comparing different versions), product logs, system logs, and other system debug information)",3
66,66,Collaborate with sales teams to understand customer requirements and provide sales support,3
67,67,"Reviews and edits requirements, specifications, business processes and recommendations related to proposed solution",4
68,68,"Design software systems that interface with humans, machines and other software.",3
69,69,"Account for deliverables in addition to project plan, templates and guides will include a post implementation long term plan for management of new contracts, maintenance of existing contracts, contract modeling, contract variance, and guidelines for managing the AR net down logic.",4
70,70,"Work with the laboratory staff, GxP Systems team and project management on study start up activities by providing user requirements for building the test methods in LIMS and development of data transfer tools. Develops specifications for standard edit checks of data and supports performance of acceptance testing . Work with Data Management, GxP systems and Project Management teams to facilitate preparation of data transfer agreements, maintain project timelines, drive project completion, escalate issues as appropriate and maintain study data transfer deadlines.",1
71,71,Develop embedded software in support of Carrier wall controls and thermostats,3
72,72,Coordinate and facilitate between internal teams to gain feedback and insight into deals and initiatives.,4
73,73,"Providing Service Delivery in the form of ART Launches, Leading SAFe and Value Stream Workshops, Product Manager/Product Owner Trainings, Inspect & Adapt Workshops, Portfolio Management Workshops, and Leadership Facilitation Sessions",4
74,74,Works with other machine engineering leads to continue to mature the use of machine learning within the organization.,2
75,75,Defining data augmentation pipelines,2
76,76,Write documentation and/or technical articles for API and projects that you have worked on,3
